TEAM_ID,TEAM_NAME,TEAM_GP,TEAM_W,TEAM_L,TEAM_W_PCT,TEAM_MIN,TEAM_E_OFF_RATING,TEAM_OFF_RATING,TEAM_E_DEF_RATING,TEAM_DEF_RATING,TEAM_E_NET_RATING,TEAM_NET_RATING,TEAM_AST_PCT,TEAM_AST_TO,TEAM_AST_RATIO,TEAM_OREB_PCT,TEAM_DREB_PCT,TEAM_REB_PCT,TEAM_TM_TOV_PCT,TEAM_EFG_PCT,TEAM_TS_PCT,TEAM_E_PACE,TEAM_PACE,TEAM_PACE_PER40,TEAM_POSS,TEAM_PIE,SEASON,SEASON_START_YEAR
1610612743,Denver Nuggets,82,35,47,0.427,3971.0,100.8,102.2,102.8,104.5,-2.0,-2.3,0.625,1.49,17.2,0.321,0.688,0.504,0.161,0.476,0.517,97.4,95.95,79.96,7944,0.483,1999-00,1999
1610612744,Golden State Warriors,82,19,63,0.232,3951.0,96.9,98.0,105.8,106.5,-8.9,-8.4,0.618,1.42,16.3,0.346,0.673,0.499,0.163,0.444,0.484,98.0,97.11,80.92,7991,0.431,1999-00,1999
1610612745,Houston Rockets,82,34,48,0.415,3966.0,101.6,103.3,103.1,104.2,-1.5,-0.8,0.591,1.24,16.3,0.321,0.691,0.508,0.181,0.494,0.536,96.8,95.54,79.62,7892,0.49,1999-00,1999
1610612746,Los Angeles Clippers,82,15,67,0.183,3940.0,95.2,96.1,107.3,108.0,-12.2,-11.9,0.514,1.12,14.2,0.286,0.674,0.474,0.169,0.458,0.499,96.5,95.69,79.74,7849,0.411,1999-00,1999
1610612747,Los Angeles Lakers,82,67,15,0.817,3961.0,104.6,105.4,95.6,96.4,9.0,9.0,0.612,1.68,17.4,0.324,0.705,0.518,0.146,0.484,0.525,95.8,95.04,79.2,7840,0.573,1999-00,1999
1610612748,Miami Heat,82,52,30,0.634,3966.0,102.2,102.5,97.7,99.4,4.5,3.1,0.649,1.57,18.3,0.304,0.696,0.508,0.163,0.495,0.533,92.2,91.22,76.02,7548,0.543,1999-00,1999
1610612749,Milwaukee Bucks,82,42,40,0.512,3971.0,104.9,106.5,104.9,106.2,0.0,0.3,0.583,1.51,17.1,0.327,0.667,0.497,0.158,0.494,0.539,95.5,94.27,78.56,7796,0.498,1999-00,1999
1610612750,Minnesota Timberwolves,82,50,32,0.61,3981.0,103.4,104.2,100.2,101.7,3.2,2.5,0.684,1.94,19.8,0.318,0.696,0.507,0.147,0.485,0.525,94.4,93.37,77.81,7751,0.531,1999-00,1999
1610612751,New Jersey Nets,82,31,51,0.378,3966.0,102.3,102.8,103.3,103.9,-1.0,-1.1,0.567,1.51,15.8,0.298,0.657,0.472,0.143,0.468,0.517,95.1,94.63,78.86,7820,0.479,1999-00,1999
1610612752,New York Knicks,82,50,32,0.61,3966.0,99.8,100.9,98.1,99.5,1.7,1.5,0.548,1.32,15.8,0.277,0.699,0.496,0.16,0.482,0.527,91.7,90.54,75.45,7485,0.507,1999-00,1999
